iter	Passed	Remaining
0	154	154200
1	160	80335
2	170	56615
3	177	44180
4	184	36694
5	191	31739
6	198	28209
7	205	25516
8	213	23470
9	220	21800
10	228	20533
11	235	19392
12	242	18433
13	249	17600
14	257	16893
15	264	16245
16	270	15669
17	277	15153
18	285	14750
19	296	14516
20	306	14276
21	316	14075
22	326	13863
23	334	13606
24	341	13329
25	350	13143
26	358	12906
27	366	12708
28	373	12498
29	381	12322
30	387	12125
31	396	11979
32	403	11835
33	411	11693
34	419	11562
35	426	11423
36	433	11283
37	441	11186
38	451	11120
39	458	11009
40	465	10892
41	473	10810
42	481	10707
43	488	10608
44	495	10523
45	502	10431
46	509	10338
47	517	10255
48	524	10174
49	533	10128
50	540	10054
51	548	9999
52	555	9934
53	563	9879
54	572	9841
55	581	9794
56	589	9745
57	596	9689
58	604	9633
59	612	9588
60	621	9573
61	629	9527
62	638	9496
63	646	9451
64	655	9425
65	666	9425
66	675	9404
67	685	9396
68	697	9408
69	707	9397
70	717	9390
71	726	9360
72	736	9349
73	746	9340
74	755	9315
75	763	9279
76	771	9246
77	779	9211
78	786	9173
79	794	9141
80	802	9106
81	811	9082
82	819	9054
83	827	9019
84	835	8992
85	845	8989
86	857	8993
87	865	8974
88	873	8946
89	883	8932
90	894	8931
91	904	8922
92	912	8903
93	921	8884
94	930	8863
95	938	8840
96	948	8826
97	955	8798
98	964	8778
99	971	8746
100	978	8711
101	985	8678
102	993	8655
103	1001	8627
104	1008	8595
105	1015	8561
106	1022	8529
107	1029	8501
108	1036	8471
109	1043	8440
110	1050	8417
111	1058	8389
112	1065	8364
113	1072	8335
114	1079	8307
115	1086	8278
116	1093	8249
117	1100	8226
118	1107	8202
119	1115	8178
120	1122	8152
121	1130	8135
122	1137	8112
123	1144	8088
124	1151	8060
125	1159	8040
126	1166	8015
127	1172	7989
128	1179	7965
129	1186	7940
130	1193	7916
131	1200	7895
132	1208	7875
133	1214	7851
134	1222	7831
135	1229	7808
136	1236	7790
137	1243	7768
138	1250	7748
139	1258	7729
140	1265	7711
141	1272	7690
142	1279	7669
143	1286	7646
144	1293	7625
145	1300	7608
146	1307	7588
147	1314	7568
148	1321	7548
149	1328	7529
150	1335	7509
151	1342	7488
152	1349	7468
153	1356	7450
154	1362	7430
155	1370	7412
156	1377	7394
157	1384	7375
158	1390	7356
159	1397	7336
160	1405	7323
161	1412	7304
162	1419	7286
163	1426	7270
164	1434	7257
165	1441	7241
166	1448	7225
167	1455	7208
168	1462	7191
169	1469	7176
170	1476	7160
171	1483	7143
172	1490	7125
173	1497	7109
174	1504	7093
175	1511	7075
176	1529	7113
177	1536	7097
178	1544	7083
179	1551	7067
180	1558	7052
181	1565	7035
182	1572	7018
183	1579	7003
184	1586	6987
185	1592	6970
186	1600	6958
187	1608	6946
188	1615	6933
189	1623	6922
190	1631	6911
191	1652	6952
192	1660	6945
193	1673	6951
194	1686	6960
195	1695	6955
196	1704	6949
197	1714	6946
198	1724	6941
199	1735	6941
200	1745	6936
201	1752	6921
202	1760	6910
203	1767	6896
204	1775	6883
205	1782	6870
206	1789	6856
207	1797	6845
208	1805	6832
209	1812	6817
210	1820	6808
211	1827	6792
212	1834	6777
213	1841	6762
214	1848	6748
215	1855	6734
216	1862	6720
217	1870	6709
218	1877	6696
219	1885	6684
220	1892	6671
221	1900	6660
222	1907	6646
223	1914	6633
224	1923	6623
225	1930	6610
226	1937	6597
227	1944	6585
228	1951	6570
229	1959	6561
230	1966	6547
231	1974	6535
232	1981	6521
233	1988	6509
234	1995	6496
235	2002	6482
236	2009	6470
237	2016	6457
238	2024	6446
239	2032	6436
240	2039	6424
241	2048	6414
242	2055	6402
243	2061	6388
244	2070	6379
245	2076	6365
246	2084	6355
247	2091	6343
248	2098	6330
249	2105	6317
250	2113	6307
251	2120	6294
252	2127	6281
253	2134	6269
254	2142	6258
255	2148	6245
256	2157	6237
257	2164	6225
258	2171	6213
259	2179	6202
260	2186	6192
261	2194	6181
262	2201	6169
263	2208	6158
264	2216	6147
265	2223	6136
266	2231	6125
267	2238	6115
268	2246	6104
269	2253	6092
270	2260	6080
271	2267	6069
272	2274	6057
273	2281	6044
274	2288	6033
275	2295	6021
276	2302	6009
277	2309	5998
278	2316	5986
279	2323	5974
280	2330	5963
281	2337	5951
282	2344	5939
283	2352	5929
284	2359	5919
285	2366	5908
286	2374	5897
287	2380	5886
288	2387	5874
289	2394	5861
290	2401	5851
291	2408	5840
292	2415	5829
293	2422	5818
294	2429	5806
295	2436	5795
296	2443	5783
297	2450	5772
298	2457	5762
299	2464	5750
300	2471	5739
301	2478	5728
302	2485	5717
303	2491	5705
304	2498	5693
305	2506	5684
306	2513	5672
307	2520	5663
308	2527	5653
309	2535	5642
310	2542	5633
311	2550	5623
312	2557	5613
313	2565	5604
314	2573	5595
315	2580	5586
316	2587	5575
317	2595	5566
318	2602	5555
319	2609	5544
320	2615	5532
321	2622	5522
322	2629	5511
323	2635	5499
324	2643	5490
325	2650	5480
326	2673	5503
327	2681	5494
328	2689	5485
329	2697	5475
330	2706	5469
331	2714	5461
332	2722	5453
333	2730	5444
334	2739	5438
335	2749	5433
336	2758	5427
337	2767	5421
338	2779	5420
339	2789	5415
340	2799	5410
341	2809	5404
342	2818	5399
343	2827	5391
344	2837	5386
345	2845	5378
346	2854	5372
347	2862	5363
348	2871	5355
349	2879	5348
350	2888	5341
351	2898	5336
352	2907	5328
353	2917	5324
354	2925	5316
355	2935	5309
356	2942	5300
357	2951	5292
358	2959	5283
359	2967	5275
360	2979	5273
361	2986	5263
362	2993	5253
363	3009	5259
364	3017	5249
365	3025	5241
366	3032	5231
367	3040	5222
368	3049	5215
369	3057	5205
370	3067	5201
371	3078	5196
372	3087	5189
373	3095	5180
374	3103	5172
375	3113	5167
376	3121	5159
377	3131	5152
378	3145	5153
379	3155	5149
380	3169	5149
381	3180	5144
382	3191	5140
383	3203	5138
384	3213	5133
385	3223	5127
386	3233	5121
387	3243	5116
388	3259	5119
389	3271	5116
390	3281	5110
391	3290	5103
392	3300	5097
393	3311	5093
394	3319	5084
395	3328	5077
396	3340	5073
397	3350	5067
398	3360	5061
399	3369	5054
400	3378	5047
401	3388	5040
402	3397	5032
403	3406	5025
404	3416	5019
405	3424	5010
406	3433	5003
407	3442	4994
408	3450	4986
409	3459	4978
410	3467	4969
411	3475	4959
412	3484	4952
413	3494	4945
414	3503	4938
415	3512	4931
416	3520	4922
417	3529	4914
418	3539	4908
419	3547	4899
420	3559	4894
421	3568	4887
422	3575	4877
423	3583	4868
424	3591	4859
425	3599	4849
426	3606	4839
427	3613	4829
428	3621	4820
429	3628	4810
430	3634	4798
431	3641	4787
432	3648	4776
433	3654	4766
434	3661	4756
435	3668	4745
436	3675	4735
437	3682	4725
438	3690	4715
439	3697	4705
440	3704	4695
441	3711	4685
442	3719	4676
443	3726	4666
444	3733	4656
445	3739	4645
446	3747	4635
447	3754	4626
448	3761	4616
449	3769	4607
450	3776	4596
451	3783	4587
452	3790	4577
453	3797	4567
454	3804	4556
455	3810	4546
456	3817	4536
457	3824	4526
458	3831	4516
459	3838	4506
460	3845	4496
461	3852	4486
462	3859	4476
463	3866	4466
464	3874	4457
465	3882	4448
466	3889	4438
467	3896	4428
468	3905	4421
469	3911	4411
470	3919	4402
471	3926	4392
472	3933	4382
473	3940	4372
474	3947	4363
475	3954	4352
476	3961	4343
477	3967	4333
478	3974	4322
479	3981	4313
480	3988	4303
481	3995	4293
482	4002	4284
483	4009	4274
484	4016	4265
485	4024	4256
486	4031	4246
487	4038	4236
488	4045	4227
489	4053	4219
490	4060	4209
491	4067	4199
492	4074	4189
493	4081	4180
494	4088	4170
495	4095	4161
496	4102	4151
497	4109	4142
498	4116	4132
499	4124	4124
500	4132	4116
501	4141	4108
502	4159	4110
503	4167	4101
504	4175	4092
505	4182	4083
506	4191	4075
507	4198	4066
508	4205	4056
509	4212	4047
510	4220	4038
511	4227	4029
512	4236	4021
513	4243	4012
514	4251	4003
515	4258	3994
516	4265	3984
517	4272	3975
518	4280	3966
519	4287	3957
520	4295	3948
521	4302	3939
522	4309	3930
523	4315	3920
524	4322	3910
525	4332	3903
526	4340	3895
527	4349	3887
528	4357	3880
529	4365	3870
530	4373	3863
531	4383	3855
532	4391	3848
533	4400	3839
534	4407	3830
535	4414	3821
536	4423	3813
537	4430	3804
538	4439	3797
539	4449	3790
540	4456	3781
541	4463	3772
542	4471	3763
543	4479	3755
544	4488	3747
545	4497	3739
546	4505	3730
547	4512	3721
548	4519	3713
549	4527	3704
550	4534	3694
551	4541	3686
552	4548	3676
553	4555	3667
554	4563	3659
555	4571	3650
556	4577	3640
557	4584	3631
558	4592	3623
559	4599	3614
560	4607	3605
561	4614	3596
562	4621	3587
563	4629	3578
564	4637	3570
565	4645	3561
566	4653	3553
567	4661	3545
568	4673	3540
569	4684	3534
570	4694	3527
571	4705	3521
572	4715	3514
573	4726	3507
574	4735	3500
575	4745	3492
576	4755	3486
577	4785	3493
578	4792	3484
579	4800	3475
580	4807	3467
581	4814	3458
582	4822	3449
583	4829	3440
584	4836	3431
585	4844	3422
586	4852	3414
587	4867	3410
588	4881	3406
589	4893	3400
590	4901	3392
591	4909	3383
592	4917	3375
593	4925	3366
594	4933	3358
595	4941	3349
596	4948	3340
597	4956	3332
598	4967	3325
599	4974	3316
600	4982	3307
601	4992	3300
602	5001	3292
603	5009	3284
604	5017	3275
605	5025	3267
606	5033	3258
607	5041	3250
608	5050	3242
609	5057	3233
610	5067	3225
611	5075	3217
612	5083	3209
613	5092	3201
614	5099	3192
615	5107	3183
616	5116	3175
617	5124	3167
618	5133	3159
619	5142	3151
620	5150	3143
621	5159	3135
622	5168	3127
623	5176	3119
624	5185	3111
625	5192	3102
626	5200	3093
627	5208	3085
628	5219	3078
629	5230	3071
630	5240	3064
631	5250	3057
632	5259	3049
633	5268	3041
634	5277	3033
635	5286	3025
636	5294	3017
637	5302	3008
638	5311	3000
639	5319	2992
640	5327	2983
641	5335	2975
642	5343	2966
643	5350	2957
644	5358	2949
645	5366	2940
646	5373	2931
647	5381	2923
648	5389	2914
649	5396	2905
650	5403	2896
651	5411	2888
652	5418	2879
653	5426	2870
654	5433	2861
655	5440	2853
656	5448	2844
657	5455	2835
658	5462	2826
659	5470	2818
660	5478	2809
661	5485	2800
662	5493	2792
663	5500	2783
664	5508	2775
665	5516	2766
666	5523	2757
667	5532	2749
668	5541	2741
669	5549	2733
670	5559	2725
671	5569	2718
672	5578	2710
673	5586	2702
674	5595	2693
675	5602	2685
676	5610	2676
677	5617	2668
678	5625	2659
679	5633	2650
680	5641	2642
681	5648	2633
682	5656	2625
683	5665	2617
684	5673	2608
685	5680	2599
686	5687	2591
687	5694	2582
688	5702	2573
689	5709	2565
690	5726	2560
691	5734	2552
692	5742	2543
693	5748	2534
694	5756	2526
695	5763	2517
696	5770	2508
697	5778	2500
698	5786	2491
699	5793	2482
700	5801	2474
701	5808	2465
702	5816	2457
703	5823	2448
704	5831	2439
705	5838	2431
706	5846	2422
707	5855	2415
708	5864	2407
709	5874	2399
710	5883	2391
711	5893	2383
712	5902	2375
713	5911	2367
714	5920	2359
715	5929	2351
716	5938	2343
717	5947	2335
718	5956	2328
719	5965	2320
720	5974	2311
721	5983	2303
722	5991	2295
723	5999	2287
724	6007	2278
725	6015	2270
726	6023	2262
727	6033	2254
728	6041	2245
729	6049	2237
730	6059	2229
731	6067	2221
732	6079	2214
733	6088	2206
734	6097	2198
735	6107	2190
736	6118	2183
737	6127	2175
738	6135	2166
739	6143	2158
740	6151	2150
741	6159	2141
742	6167	2133
743	6174	2124
744	6182	2116
745	6190	2107
746	6198	2099
747	6206	2090
748	6214	2082
749	6222	2074
750	6230	2065
751	6237	2057
752	6245	2048
753	6254	2040
754	6262	2032
755	6271	2024
756	6279	2015
757	6288	2007
758	6296	1999
759	6304	1990
760	6312	1982
761	6320	1973
762	6328	1965
763	6336	1957
764	6345	1949
765	6353	1940
766	6362	1932
767	6370	1924
768	6378	1916
769	6386	1907
770	6395	1899
771	6404	1891
772	6412	1883
773	6437	1879
774	6445	1871
775	6452	1862
776	6460	1854
777	6468	1845
778	6476	1837
779	6483	1828
780	6490	1820
781	6497	1811
782	6505	1802
783	6512	1794
784	6520	1785
785	6529	1777
786	6537	1769
787	6546	1761
788	6554	1752
789	6563	1744
790	6572	1736
791	6581	1728
792	6588	1719
793	6597	1711
794	6606	1703
795	6615	1695
796	6623	1687
797	6632	1679
798	6641	1670
799	6650	1662
800	6659	1654
801	6667	1646
802	6675	1637
